date,1,2,3,4,5
2002-09-30,0.6190399620519295,1.1854324127351403,1.1902662993572086,0.4870550252948499,0.8566388012427922
2002-10-31,0.6646500054268957,1.1726886088077755,1.1663911845730028,0.541863027237304,0.8828519072914475
2002-11-30,0.7003871185595814,1.1616330212575114,1.1715335169880623,0.5861479156733688,0.9019937940929577
2002-12-31,0.6663584725901568,1.1908971372946748,1.2776859504132232,0.5439536384645791,0.8908223152905801
2003-01-31,0.6460498229224033,1.187209817901974,1.3518824609733702,0.5192769169902739,0.87578347359796
2003-02-28,0.6347417802629833,1.207366484381769,1.2846648301193757,0.505703114527601,0.8754232985969378
2003-03-31,0.632647400516962,1.2024814869555027,1.2339761248852157,0.5032022703140463,0.8722079952007833
2003-04-30,0.6887132629310865,1.2080417709326092,1.2457300275482093,0.5715545281047638,0.9121372647886091
2003-05-31,0.7279235893086135,1.241651929280935,1.3390266299357207,0.6210530375253399,0.9506985479289124
2003-06-30,0.7404295689436848,1.2341511520643387,1.272176308539945,0.6371264439617881,0.9559299166436575
2003-07-31,0.7553796616029038,1.1818546681412552,1.3074380165289254,0.6565199550311125,0.9448539460066584
2003-08-31,0.7716080896925159,1.1883654497918084,1.379430670339761,0.677790002024744,0.9575763126615259
2003-09-30,0.7762511004538493,1.2237606580603737,1.4225160697887969,0.6839169122051822,0.9746515056734337
2003-10-31,0.8222390165661015,1.2055610484524475,1.4069788797061522,0.745584930039441,0.9956200735671908
2003-11-30,0.8346645977464313,1.2071766396721935,1.4609733700642789,0.7625494110237634,1.0037866328861327
2003-12-31,0.8869637925559071,1.217778638520384,1.5245179063360876,0.8353314586466398,1.0392908927319668
2004-01-31,0.9011983389679249,1.2279346934199065,1.4736455463728184,0.8555208020012448,1.0519566084545064
2004-02-29,0.9162891289229418,1.2428152059241748,1.4582185491276396,0.877099373969336,1.0671354470958447
2004-03-31,0.9102069858217322,1.254453068858843,1.5614325068870516,0.8683808679649405,1.0685560100719236
2004-04-30,0.8915666040898692,1.2149335161278823,1.4299357208448114,0.8418421930425865,1.0407661356755895
2004-05-31,0.899686848018781,1.2109047310830583,1.4521579430670333,0.853369383929474,1.0437600589978264
2004-06-30,0.9181583929956865,1.2157846320070542,1.4471992653810828,0.8797847156173809,1.0565428831582977
2004-07-31,0.8881818291452436,1.2270912222941401,1.433241505968778,0.8370527468011016,1.0439732402438684
2004-08-31,0.8920851741229532,1.2522055113575559,1.5048668503213949,0.8425767723858208,1.056917201883443
2004-09-30,0.908960809773236,1.2552366560829307,1.5357208448117534,0.8665981114501611,1.0681577258861115
2004-10-31,0.9312030422775273,1.2649454929082176,1.5685583103764917,0.8986003413840823,1.0853207320010883
2004-11-30,0.9801214820651146,1.2481792745638671,1.655280073461891,0.9703309010414973,1.1060593657071471
